highway,name,wkt_geom,category,geometry
residential,Gräsgatan,"LINESTRING (18.071559800000003 59.3067447, 18.0715937 59.306945600000006)",Local & Neighborhood,"LINESTRING (18.071559800000003 59.3067447, 18.0715937 59.306945600000006)"
residential,Sankt Paulsgatan,"LINESTRING (18.0617841 59.3174039, 18.0626241 59.31751190000001)",Local & Neighborhood,"LINESTRING (18.0617841 59.3174039, 18.0626241 59.31751190000001)"
service,,"LINESTRING (18.052941 59.3108452, 18.052723200000003 59.3107576)",Minor & Service,"LINESTRING (18.052941 59.3108452, 18.052723200000003 59.3107576)"
service,,"LINESTRING (18.051125300000002 59.3111922, 18.050961700000002 59.3111784, 18.050797300000003 59.311139100000005, 18.0507651 59.31098840000001)",Minor & Service,"LINESTRING (18.051125300000002 59.3111922, 18.050961700000002 59.3111784, 18.050797300000003 59.311139100000005, 18.0507651 59.31098840000001)"
service,,"LINESTRING (18.0958583 59.30928900000001, 18.0956195 59.309310200000006)",Minor & Service,"LINESTRING (18.0958583 59.30928900000001, 18.0956195 59.309310200000006)"
service,,"LINESTRING (18.058655 59.309426300000005, 18.058972 59.3094066)",Minor & Service,"LINESTRING (18.058655 59.309426300000005, 18.058972 59.3094066)"
service,,"LINESTRING (18.057573 59.3100821, 18.056959000000003 59.310129800000006)",Minor & Service,"LINESTRING (18.057573 59.3100821, 18.056959000000003 59.310129800000006)"
unclassified,Jägargatan,"LINESTRING (18.051743000000002 59.309786200000005, 18.0516593 59.309983100000004)",Local & Neighborhood,"LINESTRING (18.051743000000002 59.309786200000005, 18.0516593 59.309983100000004)"
tertiary,Hornsgatan,"LINESTRING (18.0702523 59.319824000000004, 18.0703386 59.3198396)",Arterial & Major,"LINESTRING (18.0702523 59.319824000000004, 18.0703386 59.3198396)"
unclassified,Tegelviksslingan,"LINESTRING (18.0964521 59.3157433, 18.096593900000002 59.315644000000006, 18.0966939 59.315574000000005, 18.096798500000002 59.315516200000005, 18.096905800000002 59.3154618, 18.097049300000002 59.315410400000005, 18.0971519 59.3153834, 18.097282 59.315361200000005, 18.0974805 59.3153444, 18.0978613 59.3153201, 18.0981953 59.3153057, 18.0984789 59.3153002, 18.0991381 59.315287600000005, 18.0993965 59.3152921)",Local & Neighborhood,"LINESTRING (18.0964521 59.3157433, 18.096593900000002 59.315644000000006, 18.0966939 59.315574000000005, 18.096798500000002 59.315516200000005, 18.096905800000002 59.3154618, 18.097049300000002 59.315410400000005, 18.0971519 59.3153834, 18.097282 59.315361200000005, 18.0974805 59.3153444, 18.0978613 59.3153201, 18.0981953 59.3153057, 18.0984789 59.3153002, 18.0991381 59.315287600000005, 18.0993965 59.3152921)"
service,Tegelviksplan,"LINESTRING (18.098066900000003 59.315841600000006, 18.0978743 59.3158516)",Minor & Service,"LINESTRING (18.098066900000003 59.315841600000006, 18.0978743 59.3158516)"
service,Tegelviksplan,"LINESTRING (18.096553800000002 59.315778300000005, 18.0964521 59.3157433)",Minor & Service,"LINESTRING (18.096553800000002 59.315778300000005, 18.0964521 59.3157433)"
service,,"LINESTRING (18.0969464 59.309592800000004, 18.0970266 59.30973350000001)",Minor & Service,"LINESTRING (18.0969464 59.309592800000004, 18.0970266 59.30973350000001)"
residential,Tengdahlsgatan,"LINESTRING (18.094609300000002 59.310051800000004, 18.0951303 59.3099762)",Local & Neighborhood,"LINESTRING (18.094609300000002 59.310051800000004, 18.0951303 59.3099762)"
residential,Ljustergränd,"LINESTRING (18.082683600000003 59.3051194, 18.082731000000003 59.305025500000006)",Local & Neighborhood,"LINESTRING (18.082683600000003 59.3051194, 18.082731000000003 59.305025500000006)"
residential,Mosebacke Torg,"LINESTRING (18.0748895 59.3178034, 18.0748313 59.317909300000004)",Local & Neighborhood,"LINESTRING (18.0748895 59.3178034, 18.0748313 59.317909300000004)"
residential,Mäster Mikaels Gata,"LINESTRING (18.0800404 59.317306200000004, 18.0797625 59.317270400000005)",Local & Neighborhood,"LINESTRING (18.0800404 59.317306200000004, 18.0797625 59.317270400000005)"
residential,Kapellgränd,"LINESTRING (18.0749068 59.315976600000006, 18.0749991 59.3159891)",Local & Neighborhood,"LINESTRING (18.0749068 59.315976600000006, 18.0749991 59.3159891)"
residential,Repslagargatan,"LINESTRING (18.0702393 59.3178051, 18.070267400000002 59.317750800000006)",Local & Neighborhood,"LINESTRING (18.0702393 59.3178051, 18.070267400000002 59.317750800000006)"
residential,Tjärhovsgatan,"LINESTRING (18.081325800000002 59.31582950000001, 18.0819122 59.31590430000001)",Local & Neighborhood,"LINESTRING (18.081325800000002 59.31582950000001, 18.0819122 59.31590430000001)"
residential,Tjärhovsgatan,"LINESTRING (18.079579900000002 59.3155998, 18.0796788 59.315612900000005)",Local & Neighborhood,"LINESTRING (18.079579900000002 59.3155998, 18.0796788 59.315612900000005)"
